Seed,Dataset,Model,HyperOpt params
1,sylvine,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.223606797749979, 'learning_rate': 1, 'num_parallel_tree': 1000, 'subsample': 0.63, 'tree_method': 'gpu_hist'}"
1,phoneme,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.447213595499958, 'learning_rate': 1, 'num_parallel_tree': 1000, 'subsample': 0.63, 'tree_method': 'gpu_hist'}"
1,numerai28.6,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.21821789023599236, 'learning_rate': 1, 'num_parallel_tree': 1000, 'subsample': 0.63, 'tree_method': 'gpu_hist'}"
1,miniboone,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.1414213562373095, 'learning_rate': 1, 'num_parallel_tree': 1000, 'subsample': 0.63, 'tree_method': 'gpu_hist'}"
1,kc,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.21821789023599236, 'learning_rate': 1, 'num_parallel_tree': 1000, 'subsample': 0.63, 'tree_method': 'gpu_hist'}"
1,jasmine,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.08333333333333333, 'learning_rate': 1, 'num_parallel_tree': 1000, 'subsample': 0.63, 'tree_method': 'gpu_hist'}"
1,sylvine,xgb,"{'lambda': '0.0000', 'gamma': '0.8280', 'subsample': '0.7592', 'colsample_bytree': '0.8117', 'max_depth': '11.0000', 'eta': '0.0166', 'scale_pos_weight': '1.0000'}"
1,higgs,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.18898223650461363, 'learning_rate': 1, 'num_parallel_tree': 1000, 'subsample': 0.63, 'tree_method': 'gpu_hist'}"
1,phoneme,xgb,"{'lambda': '0.0000', 'gamma': '0.4473', 'subsample': '0.8104', 'colsample_bytree': '0.9881', 'max_depth': '9.0000', 'eta': '0.0024', 'scale_pos_weight': '1.2783'}"
1,kc,xgb,"{'lambda': '0.2811', 'gamma': '0.3567', 'subsample': '0.8408', 'colsample_bytree': '0.6844', 'max_depth': '3.0000', 'eta': '0.0013', 'scale_pos_weight': '1.0179'}"
1,numerai28.6,xgb,"{'lambda': '0.0000', 'gamma': '0.8128', 'subsample': '0.7775', 'colsample_bytree': '0.3599', 'max_depth': '3.0000', 'eta': '0.0010', 'scale_pos_weight': '1.0070'}"
1,jasmine,xgb,"{'lambda': '0.0000', 'gamma': '0.0069', 'subsample': '0.7648', 'colsample_bytree': '0.7254', 'max_depth': '11.0000', 'eta': '0.0205', 'scale_pos_weight': '1.0000'}"
1,miniboone,xgb,"{'lambda': '0.0316', 'gamma': '0.0000', 'subsample': '0.3055', 'colsample_bytree': '0.9826', 'max_depth': '11.0000', 'eta': '0.0039', 'scale_pos_weight': '1.4365'}"
1,credit-g,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.12803687993289598, 'learning_rate': 1, 'num_parallel_tree': 1000, 'subsample': 0.63, 'tree_method': 'gpu_hist'}"
1,credit-g,xgb,"{'lambda': '0.0008', 'gamma': '0.2197', 'subsample': '0.9443', 'colsample_bytree': '0.8521', 'max_depth': '7.0000', 'eta': '0.0010', 'scale_pos_weight': '1.0410'}"
1,bank_marketing,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.140028008402801, 'learning_rate': 1, 'num_parallel_tree': 1000, 'subsample': 0.63, 'tree_method': 'gpu_hist'}"
1,guillermo,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.015256954942433837, 'learning_rate': 1, 'num_parallel_tree': 1000, 'subsample': 0.63, 'tree_method': 'gpu_hist'}"
1,australian,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.2672612419124244, 'learning_rate': 1, 'num_parallel_tree': 1000, 'subsample': 0.63, 'tree_method': 'gpu_hist'}"
1,bank_marketing,xgb,"{'lambda': '0.0000', 'gamma': '0.0329', 'subsample': '0.7691', 'colsample_bytree': '0.6652', 'max_depth': '5.0000', 'eta': '0.0012', 'scale_pos_weight': '1.5880'}"
1,albert,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.11322770341445959, 'learning_rate': 1, 'num_parallel_tree': 1000, 'subsample': 0.63, 'tree_method': 'gpu_hist'}"
1,higgs,xgb,"{'lambda': '0.0403', 'gamma': '0.0002', 'subsample': '0.7611', 'colsample_bytree': '0.8467', 'max_depth': '11.0000', 'eta': '0.0016', 'scale_pos_weight': '1.0530'}"
1,australian,xgb,"{'lambda': '0.0335', 'gamma': '0.0000', 'subsample': '0.8922', 'colsample_bytree': '0.3916', 'max_depth': '3.0000', 'eta': '0.0012', 'scale_pos_weight': '1.0709'}"
