ds name,# samples,# features,# classes,class dist,id,
amazon_employee_access,32769,9,2,"{0: 0.058, 1: 0.942}",0
adult,48842,13,2,"{0: 0.761, 1: 0.239}",1
airlines,539383,6,2,"{0: 0.555, 1: 0.445}",2
albert,425240,78,2,"{0: 0.5, 1: 0.5}",3
australian,690,14,2,"{0: 0.555, 1: 0.445}",4
bank_marketing,45211,16,2,"{0: 0.883, 1: 0.117}",5
credit-g,1000,20,2,"{0: 0.3, 1: 0.7}",6
guillermo,20000,4296,2,"{0: 0.6, 1: 0.4}",7
higgs,98050,28,2,"{0: 0.471, 1: 0.529}",8
jasmine,2984,144,2,"{0: 0.5, 1: 0.5}",9
kc,2109,21,2,"{0: 0.845, 1: 0.155}",10
miniboone,130064,50,2,"{0: 0.719, 1: 0.281}",11
numerai28.6,96320,21,2,"{0: 0.495, 1: 0.505}",12
phoneme,5404,5,2,"{0: 0.707, 1: 0.293}",13
sylvine,5124,20,2,"{0: 0.5, 1: 0.5}",14
,,,,,,,,,,
connect-4,67557,42,3,"{0: 0.095, 1: 0.246, 2: 0.658}",0
fabert,8237,800,7,"{0: 0.113, 1: 0.174, 2: 0.234, 3: 0.184, 4: 0.119, 5: 0.115, 6: 0.061}",1
jannis,83733,54,4,"{0: 0.02, 1: 0.344, 2: 0.176, 3: 0.46}",2
jungle_chess_2pcs_raw_endgame_complete,44819,6,3,"{0: 0.389, 1: 0.097, 2: 0.515}",3
volkert,58310,180,10,"{0: 0.127, 1: 0.03, 2: 0.198, 3: 0.05, 4: 0.06, 5: 0.161, 6: 0.025, 7: 0.22, 8: 0.023, 9: 0.106}",4
